Timestamp,Bytes Sent,Bytes Received,Download Speed (Mbps),Upload Speed (Mbps)
2024-09-23 21:38:54,25156208,210943256,4.66,4.16
2024-09-23 21:39:36,31357223,218985311,4.67,4.13
